Okuhle Booysen | operation insert count 0 | operation find count = 5
Nkosenhle Beukes | operation insert count 10 | operation find count = 15
Faith Nkosi | operation insert count 9 | operation find count = 15
Lethokuhle Mnisi | operation insert count 7 | operation find count = 17
Olothando Mkhize | operation insert count 10 | operation find count = 21
Mia Khumalo | operation insert count 10 | operation find count = 19
Khayone Ndlovu | operation insert count 11 | operation find count = 17
Reatlegile Daniels | operation insert count 9 | operation find count = 17
Relebohile Olyn | operation insert count 10 | operation find count = 21
Lesedi Williams | operation insert count 9 | operation find count = 19
Elijah Smith | operation insert count 9 | operation find count = 19
Luthando Buthelezi | operation insert count 10 | operation find count = 15
Bokang Cloete | operation insert count 10 | operation find count = 15
Bandile Madikizela | operation insert count 10 | operation find count = 21
Lesedi Jacobs | operation insert count 9 | operation find count = 15
Melokuhle Mudau | operation insert count 10 | operation find count = 25
Lingomso Maluleke | operation insert count 9 | operation find count = 19
Karabo Maseko | operation insert count 10 | operation find count = 15
Leah Molefe | operation insert count 10 | operation find count = 21
Siphosethu Chauke | operation insert count 8 | operation find count = 15
Warona Klaas | operation insert count 10 | operation find count = 21
Othalive Ngobeni | operation insert count 12 | operation find count = 25
Asemahle Klaas | operation insert count 10 | operation find count = 19
Katlego Maluleke | operation insert count 10 | operation find count = 21
Bokamoso Mudau | operation insert count 10 | operation find count = 19
Bonolo Klaas | operation insert count 10 | operation find count = 25
Lethokuhle Shabangu | operation insert count 9 | operation find count = 17
Karabo Adams | operation insert count 9 | operation find count = 19
Asemahle Adams | operation insert count 10 | operation find count = 15
Banele Khoza | operation insert count 10 | operation find count = 21
Alunamda Ngwenya | operation insert count 9 | operation find count = 19
Lingomso Daniels | operation insert count 9 | operation find count = 11
Othalive Mudau | operation insert count 10 | operation find count = 21
Sphesihle Molefe | operation insert count 10 | operation find count = 15
Liam Van | operation insert count 9 | operation find count = 23
Katleho Radebe | operation insert count 8 | operation find count = 23
Lwandle Dyantyi | operation insert count 9 | operation find count = 21
Reneilwe Davids | operation insert count 9 | operation find count = 15
Reatlegile Peter | operation insert count 8 | operation find count = 21
Katlego Moloi | operation insert count 11 | operation find count = 21
Mia Adams | operation insert count 10 | operation find count = 21
Ofentse Mkhize | operation insert count 11 | operation find count = 15
Lingomso Petersen | operation insert count 8 | operation find count = 17
Leano Jacobs | operation insert count 10 | operation find count = 19
Angel Ngobeni | operation insert count 10 | operation find count = 23
Omaatla Witbooi | operation insert count 9 | operation find count = 17
Bayanda Moeng | operation insert count 10 | operation find count = 19
Ava Nkuna | operation insert count 13 | operation find count = 21
Liam Mogale | operation insert count 9 | operation find count = 21
Othalive Mudau | operation insert count 10 | operation find count = 21
Esihle Nkuna | operation insert count 9 | operation find count = 21
Lethabo Moloi | operation insert count 11 | operation find count = 21
Luke Mahlangu | operation insert count 9 | operation find count = 17
Phenyo Visagie | operation insert count 9 | operation find count = 17
Emihle Mthembu | operation insert count 9 | operation find count = 21
Aphelele Ngobeni | operation insert count 9 | operation find count = 21
Amohelang Tsotetsi | operation insert count 8 | operation find count = 23
Hlelokuhle Sithole | operation insert count 9 | operation find count = 19
Hlelokuhle Cloete | operation insert count 10 | operation find count = 17
Siyabonga Sithole | operation insert count 10 | operation find count = 17
Bokamoso Sithole | operation insert count 9 | operation find count = 15
Bandile Baloyi | operation insert count 9 | operation find count = 21
Othalive Mofokeng | operation insert count 10 | operation find count = 21
Minenhle Maluleke | operation insert count 9 | operation find count = 23
Ayabonga Mosia | operation insert count 7 | operation find count = 13
Caleb Witbooi | operation insert count 9 | operation find count = 23
Likuwe Adams | operation insert count 10 | operation find count = 19
Enzokuhle Booi | operation insert count 11 | operation find count = 21
Onthatile Mthembu | operation insert count 8 | operation find count = 23
Leano Dyantyi | operation insert count 9 | operation find count = 19
Angel Mokoena | operation insert count 11 | operation find count = 21
Iminathi Buthelezi | operation insert count 10 | operation find count = 21
Olothando Van | operation insert count 7 | operation find count = 21
Iminathi Mosia | operation insert count 10 | operation find count = 23
Kungawo Maseko | operation insert count 11 | operation find count = 17
Iminathi Klaas | operation insert count 8 | operation find count = 21
Liam Malatji | operation insert count 10 | operation find count = 21
Siyabonga Sithole | operation insert count 10 | operation find count = 17
Warona Dyantyi | operation insert count 9 | operation find count = 19
Luke Khumalo | operation insert count 10 | operation find count = 17
Kungawo Buthelezi | operation insert count 11 | operation find count = 13
Emihle Mogale | operation insert count 10 | operation find count = 23
Lesedi Ndou | operation insert count 10 | operation find count = 23
Bonolo Ngobeni | operation insert count 10 | operation find count = 25
Alunamda Shabangu | operation insert count 9 | operation find count = 23
Ofentse Mathebula | operation insert count 9 | operation find count = 19
Okuhle Cloete | operation insert count 9 | operation find count = 17
Mia Shabangu | operation insert count 10 | operation find count = 15
Warona Petersen | operation insert count 9 | operation find count = 17
Lebogang Beukes | operation insert count 9 | operation find count = 19
Lethokuhle Maluleke | operation insert count 10 | operation find count = 21
Lesedi Booi | operation insert count 9 | operation find count = 23
Thandolwethu Nkosi | operation insert count 9 | operation find count = 23
Luthando Cloete | operation insert count 10 | operation find count = 19
Oratilwe Modise | operation insert count 10 | operation find count = 17
Alunamda Mohlala | operation insert count 10 | operation find count = 15
Minenhle Jacobs | operation insert count 10 | operation find count = 19
Leah Dlamini | operation insert count 9 | operation find count = 17
Aphelele Tshabalala | operation insert count 9 | operation find count = 15
Amohelang Visagie | operation insert count 8 | operation find count = 21
Kungawo Cloete | operation insert count 8 | operation find count = 15
Kamohelo Motloung | operation insert count 8 | operation find count = 21
Enzokuhle Ngcobo | operation insert count 9 | operation find count = 21
Joshua Modise | operation insert count 9 | operation find count = 23
Melokuhle Maseko | operation insert count 10 | operation find count = 17
Lethabo Mokoena | operation insert count 11 | operation find count = 19
Nkosenhle Mosia | operation insert count 9 | operation find count = 19
Leah Jacobs | operation insert count 10 | operation find count = 17
Mia Maluleke | operation insert count 10 | operation find count = 17
Oratilwe Visagie | operation insert count 10 | operation find count = 23
Onthatile Nkuna | operation insert count 9 | operation find count = 21
Othalive Van | operation insert count 8 | operation find count = 21
Faith Booysen | operation insert count 8 | operation find count = 17
Siphesihle Khoza | operation insert count 8 | operation find count = 23
Enzokuhle Maseko | operation insert count 10 | operation find count = 19
Enzokuhle Radebe | operation insert count 9 | operation find count = 23
Kungawo Mohlala | operation insert count 11 | operation find count = 17
Ofentse Smith | operation insert count 11 | operation find count = 17
Iminathi Malatji | operation insert count 10 | operation find count = 17
Lethokuhle Peter | operation insert count 9 | operation find count = 13
Asemahle Daniels | operation insert count 9 | operation find count = 19
Noah Mkhize | operation insert count 9 | operation find count = 19
Philasande Klaas | operation insert count 9 | operation find count = 19
Bayanda Beukes | operation insert count 9 | operation find count = 15
Tshegofatso Mathebula | operation insert count 10 | operation find count = 21
Siphesihle Booi | operation insert count 9 | operation find count = 17
